Life_Time,Age,Is_Retail,Is_CRM_Email,CountDeposit,CountWithdrawal,TotalDeposits,TotalWithdrawal,CountPaymentMethod,DifferentMethodWithdrawals,Multi_Device,IP_Counts,e_11234,e_23456,e_34454,e_43568,e_64645,Target_ml
3,28,1,1,75,0,3344,0,1,0.0,0,1,470.34,368.87,10688.72,2475.49,0.68,0
1,23,1,0,2,0,40,0,1,0.0,0,3,2918.47,1989.37,12893.66,6957.46,0.49,0
3,66,1,0,8,0,80,0,1,0.0,1,3,7161.86,3610.65,3946.77,3053.23,1.22,0
1,27,0,1,41,0,581,0,1,0.0,1,4,1177.11,476.51,2234.94,906.02,0.26,0
0,49,0,1,34,14,9193,6312,4,2082.96,0,1,1590.49,97.14,143.18,421.47,0.1,0
4,70,0,1,62,16,2900,1407,1,0.0,0,2,466.03,1301.99,3198.26,2100.93,1.44,0
1,56,0,1,7,0,130,0,1,0.0,1,2,716.84,1640.77,23407.66,7563.07,1.32,1
1,38,0,0,5,0,100,0,1,0.0,0,1,377.0,621.55,784.54,6215.46,0.19,0
3,43,1,1,26,15,550,490,1,0.0,1,4,925.79,655.42,13554.2,3621.68,0.83,1
1,25,0,0,28,4,10900,18500,3,18500.0,1,5,1107.56,4444.73,4082.12,14158.93,0.07,1
0,36,0,0,15,0,5500,0,1,0.0,1,2,8341.81,14967.65,34946.09,34946.09,3.0,0
0,45,0,0,147,30,5545,3555,3,888.75,1,5,14428.55,8226.28,195.33,8210.88,0.96,1
1,64,0,1,86,44,1609,990,2,0.0,1,3,1606.75,12080.79,1341.62,178.12,1.55,1
1,61,1,0,9,4,1900,1310,1,0.0,0,1,3084.45,5415.27,13114.51,36038.17,1.58,1
0,43,0,0,11,3,5200,2527,4,2527.0,1,3,246.59,10880.15,3867.51,305.16,0.59,1
0,21,0,1,33,12,1258,1560,1,0.0,1,2,3224.23,2753.35,1756.68,1.77,0.15,0
2,30,1,1,2,0,50,0,1,0.0,1,3,318.39,474.67,2253.26,898.7,0.26,1
1,37,1,0,5,4,650,430,1,0.0,1,2,19988.11,11095.25,28492.09,28492.09,2.61,0
4,71,1,1,72,1,953,300,1,0.0,1,2,24376.89,11649.36,6753.19,29415.6,2.66,0
5,43,0,0,1,0,10,0,1,0.0,0,2,12726.34,6521.5,21411.24,38803.75,1.8,0
2,33,0,0,34,5,2011,1360,2,1360.0,1,3,10005.67,7303.99,58.75,1499.74,1.4,1
3,52,1,0,1,0,10,0,1,0.0,1,2,2510.75,12044.58,30074.3,30074.3,2.7,0
0,30,0,0,12,0,2260,0,1,0.0,1,1,11661.75,17940.06,39900.09,39900.09,3.29,1
1,36,1,0,43,2,1195,4000,2,0.0,0,3,2361.53,200.51,9005.11,2005.11,0.6,0
1,33,0,0,1,1,60,44,1,0.0,1,1,10069.68,5721.74,15413.06,36804.35,1.64,0
1,23,0,1,8,4,125,659,1,0.0,1,2,13662.18,15024.0,35040.01,35040.01,3.0,0
0,22,0,0,7,2,1600,1357,2,1357.0,1,4,5745.53,7775.16,16875.8,23875.8,2.06,1
1,30,0,1,2,0,20,0,1,0.0,1,6,370.82,1605.87,9058.7,5423.48,0.3,0
1,49,0,0,22,3,1100,2500,1,0.0,0,2,3493.69,776.01,462.02,535.43,0.51,0
0,29,1,0,30,0,311,0,1,0.0,1,1,3612.67,5823.39,7116.95,14116.95,1.66,0
3,52,1,1,7,4,135,90,1,0.0,1,2,468.44,2043.66,13436.6,7174.64,0.52,0
0,58,0,0,52,0,1095,0,2,0.0,1,4,1632.09,717.6,176.02,1870.41,0.14,0
6,45,0,0,11,0,360,0,1,0.0,1,1,24276.72,13855.79,33092.98,33092.98,2.89,0
3,55,1,0,1,0,20,0,1,0.0,1,2,24541.57,12585.0,2074.99,30975.0,2.76,1
4,39,0,1,2,0,40,0,1,0.0,1,1,4221.15,4359.59,5196.91,33398.97,1.37,1
6,62,1,0,6,1,70,60,1,0.0,1,3,10965.93,1452.54,16605.98,26131.34,0.79,0
1,29,0,0,62,3,25460,17705,3,5842.65,1,1,4420.45,1968.75,1897.6,3124.88,0.03,0
12,63,1,0,3,0,50,0,1,0.0,1,4,1456.56,573.71,12737.06,3294.82,0.79,0
3,26,1,0,1,0,10,0,1,0.0,1,1,12662.14,11569.27,29282.12,29282.12,2.66,0
4,43,0,1,39,7,1169,640,3,640.0,1,1,2559.53,3528.23,2330.14,2531.29,1.67,1
3,50,0,0,12,0,70,0,1,0.0,1,2,3330.42,11967.16,29945.26,29945.26,2.7,1
0,38,0,1,401,7,32889,19500,3,17550.0,1,5,5687.85,7833.28,1343.99,124.6,2.2,1
0,48,0,0,67,28,17596,15494,3,15494.0,0,4,12731.13,8162.83,3593.24,4777.16,0.98,1
0,50,0,0,66,7,1228,1150,3,1150.0,1,4,157.35,10887.28,685.34,10060.29,1.16,1
0,26,1,0,11,3,6300,5275,1,4747.5,1,1,229.2,375.95,293.46,296.73,1.08,0
7,40,0,0,12,5,2545,3153,2,0.0,1,2,859.38,532.78,843.37,11047.8,1.03,0
1,60,0,0,2,0,100,0,1,0.0,1,2,398.85,67.24,6327.58,731.03,0.47,1
8,47,1,1,3,0,100,0,1,0.0,1,2,6628.49,7168.94,26267.08,40422.36,1.93,0
1,37,0,1,11,2,79,85,1,0.0,1,1,18638.95,16834.49,38057.48,38057.48,3.18,0
1,41,0,0,47,9,4861,3720,3,3720.0,0,3,511.02,8821.9,15340.28,650.99,0.87,1
4,37,0,0,85,0,688,0,1,0.0,1,3,9904.38,3023.03,6884.84,115.16,1.1,0
7,49,0,0,22,0,155,0,1,0.0,1,1,20657.7,14843.92,9219.61,34739.87,2.98,0
0,25,0,0,20,4,2080,2554,3,2298.6,1,2,283.64,4476.2,8070.99,8378.59,1.26,1
1,34,0,1,38,15,2350,2695,3,2695.0,1,2,833.58,7960.76,187.97,6.56,1.77,1
0,65,0,1,60,36,3180,3259,2,3259.0,1,2,2380.62,8734.28,3171.02,438.71,1.04,1
3,25,1,0,6,0,70,0,1,0.0,0,1,18268.54,19084.27,41807.12,41807.12,3.41,0
1,40,0,0,131,4,791,368,1,0.0,1,4,1626.02,151.98,5480.24,392.1,0.42,0
9,39,0,0,16,2,135,182,2,82.0,1,2,21818.11,11336.31,8318.43,28893.86,2.63,0
3,55,0,1,4,4,90,74,3,74.0,1,1,887.23,147.76,8477.55,1591.02,0.57,0
0,33,0,1,5,2,750,681,2,681.0,1,4,2486.66,663.04,369.59,6630.41,0.17,1
0,55,0,0,50,20,8220,12855,3,0.0,1,4,1419.24,4777.1,5525.36,2153.6,1.61,1
1,35,1,0,5,0,99,0,1,0.0,1,2,1166.09,20225.21,36126.06,43708.69,3.52,0
0,33,0,0,27,18,3930,3593,3,3593.0,1,5,50.0,2041.36,10516.06,15602.9,0.58,1
0,29,0,0,160,2,1583,500,1,0.0,0,2,7156.61,4108.04,3310.27,32770.09,1.32,0
7,43,1,1,2,0,100,0,1,0.0,1,2,5583.92,3674.96,62.19,31687.4,1.23,0
1,61,1,0,1,0,10,0,1,0.0,1,3,1741.08,4922.01,9415.09,9610.06,1.48,1
2,30,1,0,1,0,20,0,1,0.0,1,2,15544.35,17022.78,38371.3,38371.3,3.2,0
0,51,0,1,38,2,785,90,2,90.0,1,7,9745.14,6748.37,23112.8,18741.87,1.85,1
2,31,1,0,6,1,60,90,1,0.0,1,4,7297.17,3084.79,6576.03,423.97,1.12,0
1,32,0,0,94,28,2220,2194,2,2194.0,1,4,170.18,7962.71,16913.54,5632.87,0.92,1
0,21,0,0,14,0,2370,0,1,0.0,1,1,9027.61,7497.58,28731.83,41243.94,2.0,1
6,27,1,1,35,2,4489,11000,1,0.0,0,1,19393.28,13144.44,31907.4,31907.4,2.81,0
6,32,1,0,46,2,327,660,1,0.0,1,1,12612.09,7043.24,25324.28,40108.09,1.91,0
0,34,0,0,7,0,1240,0,1,0.0,1,2,435.04,1106.17,4061.71,3424.69,0.05,0
1,35,0,1,48,5,1156,625,2,0.0,1,2,2689.17,12213.85,550.11,1509.72,0.97,1
5,51,1,0,27,4,950,930,1,0.0,1,2,10532.77,16317.04,37195.07,37195.07,3.13,0
0,32,0,1,41,6,6171,4700,3,4700.0,1,4,3777.74,4398.81,3937.55,1405.26,1.65,1
3,43,1,1,21,4,1810,1100,1,0.0,1,3,82.38,12852.61,15364.41,4494.65,1.19,1
3,56,0,0,42,13,1410,1050,2,1050.0,1,3,1867.67,7259.18,469.02,2369.08,1.67,1
0,39,0,1,6,0,1010,0,1,0.0,1,5,1979.53,2209.58,15095.77,7838.31,0.6,1
10,53,1,1,8,1,80,100,1,0.0,1,4,8229.23,5509.52,13821.38,12547.59,1.6,0
0,32,0,0,31,3,3437,1150,1,0.0,1,1,725.7,875.78,314.96,44.26,0.54,0
1,39,0,0,52,5,1320,780,3,780.0,1,3,124.43,2367.22,526.11,15008.95,1.68,1
2,31,0,0,8,1,79,20,1,0.0,1,5,9752.94,3707.19,303.92,3535.95,1.24,0
0,39,0,0,28,2,3620,774,2,774.0,0,2,1603.17,2271.68,15716.84,8086.74,0.64,0
1,35,0,0,19,0,1050,0,1,0.0,1,1,11687.78,4119.15,3393.64,32797.88,1.32,1
1,56,0,1,9,1,240,95,1,0.0,1,1,830.27,312.06,10120.65,2248.26,0.66,0
0,33,0,0,12,0,3900,0,1,0.0,1,4,33.67,227.87,4721.31,88.52,0.39,1
1,32,0,0,79,5,2354,1330,1,0.0,1,1,438.65,50.13,1751.52,2278.36,1.82,0
5,25,0,0,1,0,20,0,1,0.0,1,1,17168.81,19370.4,31852.02,42284.01,3.44,0
0,35,0,0,30,0,1475,0,1,0.0,1,5,2345.12,109.03,8090.26,1436.1,0.55,0
1,52,0,1,10,0,800,0,1,0.0,0,1,5235.14,10134.08,26890.13,26890.13,2.51,1
1,34,0,1,50,5,4110,1984,3,1984.0,1,3,367.7,8954.62,1708.12,737.8,0.98,1
2,47,0,1,22,3,1080,220,1,0.0,1,3,252.21,6000.24,1296.52,2429.55,1.9,1
1,30,0,1,82,11,1505,1880,1,0.0,1,1,867.09,265.03,59.73,1106.45,0.57,0
2,54,1,0,11,0,345,0,1,0.0,0,1,13031.58,14864.53,34774.21,34774.21,2.99,0
3,70,0,1,106,14,1613,944,3,944.0,1,4,2575.06,5154.01,392.43,10996.55,0.74,1
0,24,0,0,54,19,3502,2077,3,2077.0,1,4,1314.93,2596.77,6987.03,1211.36,2.73,1
3,33,0,0,20,3,442,119,2,0.0,1,2,3413.11,1258.47,5584.74,4033.9,0.13,1
1,23,0,0,22,3,1515,1178,2,0.0,0,1,4440.07,8021.54,2578.2,4663.44,1.48,1
2,34,0,0,5,0,135,0,1,0.0,1,1,26380.46,11514.3,29190.5,29190.5,2.65,0
7,46,1,0,25,1,6000,2500,1,0.0,1,3,724.55,1447.71,7477.13,4790.85,0.22,0
1,33,0,1,57,6,4220,2700,3,2700.0,1,3,2792.45,3522.05,4986.08,1435.1,2.33,1
2,33,0,0,22,3,4770,1700,1,0.0,1,1,3491.98,6376.78,235.29,9729.22,1.42,1
2,50,0,1,3,1,150,150,1,0.0,1,2,1193.97,17205.14,38675.23,38675.23,3.22,1
1,34,0,0,42,5,2100,735,2,735.0,1,5,6656.8,3666.91,20423.97,23.02,0.45,1
0,61,0,1,83,6,4393,950,3,950.0,0,1,2057.92,5566.62,3214.31,3019.21,1.21,1
1,34,0,0,95,4,1655,400,1,0.0,1,3,1989.64,4687.64,3931.83,1264.92,2.53,1
1,38,0,1,19,0,840,0,1,0.0,0,2,5136.6,5568.87,14266.51,36422.17,1.61,0
0,25,0,1,32,3,1728,1100,1,0.0,0,3,1661.57,2558.29,759.98,437.56,2.65,1
4,34,0,0,67,3,1703,1350,1,0.0,1,4,4725.9,6426.93,7382.59,2258.82,1.12,1
11,39,1,0,31,0,367,0,2,0.0,1,1,11970.02,15247.68,35412.79,35412.79,3.02,0
0,36,0,0,266,19,13023,15745,4,15745.0,1,7,10859.25,7471.14,192.36,5504.9,0.47,1
0,44,0,0,95,4,23350,5996,2,0.0,1,1,412.81,133.06,217.14,4565.61,2.01,0
4,69,0,0,199,18,4957,4682,3,1825.98,0,2,143.78,158.11,11.96,3417.35,1.28,0
0,23,0,0,23,5,1574,1900,3,1900.0,0,3,5729.35,11341.74,12985.77,3836.69,0.21,1
1,38,0,1,60,10,4290,2320,2,0.0,1,4,660.46,7299.69,77.61,2050.24,1.59,1
1,28,0,1,1,0,20,0,1,0.0,0,4,911.11,1009.31,3093.11,3037.24,0.0,0
0,31,0,1,79,3,1580,750,2,750.0,0,1,439.0,9236.62,7846.42,6670.79,0.46,1
0,23,0,0,50,4,1820,1275,1,0.0,1,1,7428.83,5060.33,5014.27,5056.71,0.55,1
9,67,0,0,67,4,1340,520,1,0.0,1,3,681.42,7259.87,950.27,343.41,2.06,1
1,34,0,1,73,4,1372,285,1,0.0,1,3,4941.84,8771.72,1707.8,7491.83,1.35,1
