ID,Life_Time,Age,Is_Retail,Is_CRM_Email
101049492,2,41,0,1
101049707,0,41,1,0
101053231,15,54,1,0
101059476,1,67,1,1
101063980,8,43,0,1
101066412,1,35,0,0
101067006,0,57,0,0
101069037,3,61,0,1
101069832,2,27,1,0
101073288,9,76,0,1
101088116,2,64,0,1
101090137,1,72,1,1
101095675,1,25,1,0
101103002,2,43,0,0
101103924,0,57,0,0
101104849,1,39,0,0
101110753,2,44,1,0
101112654,7,40,1,1
101114075,3,44,0,0
101115414,6,36,0,0
101121540,2,35,1,0
101131989,5,67,0,1
101135525,8,31,1,1
101139505,0,38,0,0
101140398,1,30,1,0
101143087,3,45,0,1
101143943,12,72,1,1
101144547,1,64,0,1
101145485,2,37,0,0
101169229,6,57,1,0
101172103,14,56,0,1
101174790,3,66,0,0
101175416,1,41,0,0
101176867,0,44,1,1
101178857,3,59,0,1
101188012,8,62,0,1
101193447,3,42,1,1
101207661,7,29,0,0
101220068,0,33,0,0
101223803,0,59,0,0
101235849,7,44,0,1
101243474,3,37,0,0
101248001,3,55,0,1
101249305,1,35,1,0
101251348,1,65,0,0
101259502,1,26,0,0
101261995,1,25,1,1
101262737,5,31,0,0
101264126,7,27,1,1
101264466,3,23,0,0
101268656,2,61,0,1
101268732,10,40,1,0
101273739,1,69,0,1
101279459,11,66,0,0
101286758,1,39,0,1
101287687,1,31,0,0
101298081,1,45,0,1
101303464,4,34,1,1
101308394,1,44,1,0
101309011,0,37,0,0
101311658,1,33,1,0
101329354,1,31,0,0
101332073,1,42,0,0
101337155,0,27,0,1
101337240,1,65,0,0
101346127,4,39,0,1
101346678,1,31,0,0
101351515,0,45,1,1
101353433,1,19,1,0
101358369,0,36,1,1
101361381,1,44,1,0
101364344,0,51,0,0
101379044,0,35,0,0
101380552,1,63,1,1
101383095,6,25,1,0
101388546,1,28,1,0
101389875,1,24,1,0
101393120,1,42,1,0
101401149,3,39,1,0
101418643,0,62,1,1
101422254,3,26,0,1
101423047,1,52,1,0
101426970,0,29,1,0
101430562,4,85,1,0
101431665,3,41,0,1
101439177,6,41,1,0
101447993,1,53,0,0
101450106,0,40,0,0
101452801,0,56,1,0
101453962,2,50,0,0
101457700,7,40,1,0
101464953,4,25,0,0
101471201,1,30,1,0
101473064,3,27,0,1
101474577,2,25,1,0
101478338,1,52,0,0
101486261,1,24,1,0
101487628,3,25,1,0
101496035,15,76,1,0
101498605,1,59,0,0
101501662,2,23,0,0
101502868,0,33,0,1
101506281,9,39,1,0
101508703,1,38,0,1
101512688,0,30,0,0
101514407,6,54,1,0
101515289,0,34,0,1
101518573,0,22,0,1
101523867,0,20,0,1
101528456,2,43,1,0
101529382,9,73,1,1
101542066,4,33,1,0
101543711,3,33,1,0
101545641,1,29,0,0
101555276,0,22,0,0
101555640,1,22,1,1
101559207,2,53,0,1
101559525,14,40,0,1
101564400,1,53,1,0
101564561,0,49,0,1
101567096,6,31,1,0
101575146,1,30,1,1
101579288,1,34,0,1
101582689,1,21,0,1
101593215,1,28,0,1
101594764,4,38,1,1
101602046,1,30,0,0
101607100,1,35,0,0
101612963,0,27,0,0
101623191,7,27,1,1
101625771,6,48,1,1
101626105,0,33,0,1
101630980,0,55,0,0
101631055,4,28,1,1
101631988,1,41,0,1
101633612,0,58,1,0
101643127,0,64,0,0
101644810,1,46,0,1
101646905,0,53,1,0
101652853,2,47,0,1
101657547,4,28,0,0
101660372,1,34,0,0
101661683,1,59,1,0
101667911,0,53,0,0
101668921,5,42,0,0
101669290,10,44,0,1
101689776,1,61,1,1
101690481,8,36,0,1
101700502,0,36,0,1
101705293,3,35,1,0
101706762,1,36,0,0
101707433,3,36,0,0
101715636,1,53,1,0
101715989,3,45,1,1
101721961,3,26,0,1
101728452,0,51,1,1
101734660,3,34,0,1
101745830,2,50,0,1
101750569,3,34,0,1
101752418,2,41,1,1
101755639,0,57,1,1
101757554,1,31,0,1
101762027,3,56,0,0
